"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","16-Aug-2024","2,923.70","2,937.30","2,960.80","2,916.10","2,957.75","2,956.40","2,944.77","47,08,451","13,86,53,25,209.75","1,87,365","21,41,288","45.48"
"RELIANCE","EQ","19-Aug-2024","2,956.40","2,965.00","2,996.60","2,961.00","2,979.00","2,976.80","2,980.25","68,98,871","20,56,03,27,724.60","2,00,328","46,27,354","67.07"
"RELIANCE","EQ","20-Aug-2024","2,976.80","2,994.45","3,007.85","2,980.05","2,986.50","2,991.90","2,996.98","42,05,904","12,60,50,24,714.40","1,75,516","27,65,914","65.76"
"RELIANCE","EQ","21-Aug-2024","2,991.90","2,986.50","3,015.75","2,980.00","2,999.00","2,997.35","3,001.42","38,84,998","11,66,05,26,038.60","1,41,353","25,16,019","64.76"
"RELIANCE","EQ","22-Aug-2024","2,997.35","3,006.00","3,013.00","2,981.30","2,996.50","2,996.25","2,994.88","52,22,891","15,64,19,35,953.20","2,33,216","32,22,286","61.70"
"RELIANCE","EQ","23-Aug-2024","2,996.25","3,007.50","3,022.65","2,996.85","2,996.85","2,999.95","3,007.21","46,24,827","13,90,78,42,193.30","1,68,002","24,66,304","53.33"
"RELIANCE","EQ","26-Aug-2024","2,999.95","3,013.95","3,046.00","3,006.00","3,021.20","3,025.20","3,028.80","44,08,057","13,35,11,14,538.35","2,37,540","27,04,777","61.36"
"RELIANCE","EQ","27-Aug-2024","3,025.20","3,021.00","3,026.95","2,998.90","3,001.00","3,000.90","3,008.12","31,25,578","9,40,21,08,149.05","1,01,024","20,14,932","64.47"
"RELIANCE","EQ","28-Aug-2024","3,000.90","3,010.00","3,014.95","2,986.00","2,999.00","2,996.60","2,999.57","48,05,143","14,41,33,56,125.80","2,00,883","34,80,824","72.44"
"RELIANCE","EQ","29-Aug-2024","2,996.60","3,006.20","3,074.00","2,988.00","3,042.90","3,041.85","3,038.57","1,91,67,679","58,24,23,37,590.95","5,70,843","79,84,285","41.65"
"RELIANCE","EQ","30-Aug-2024","3,041.85","3,068.00","3,079.45","3,006.65","3,024.95","3,019.25","3,026.71","2,08,10,365","62,98,70,09,675.80","5,99,570","1,19,10,770","57.23"
"RELIANCE","EQ","02-Sep-2024","3,019.25","3,021.75","3,053.60","3,013.25","3,034.40","3,032.50","3,034.10","56,20,426","17,05,29,33,370.55","2,80,541","34,03,958","60.56"
"RELIANCE","EQ","03-Sep-2024","3,032.50","3,042.50","3,046.00","3,015.00","3,018.90","3,018.25","3,026.09","54,61,900","16,52,81,93,207.35","2,26,578","39,88,825","73.03"
"RELIANCE","EQ","04-Sep-2024","3,018.25","3,001.40","3,035.00","2,999.00","3,031.95","3,029.10","3,023.30","59,91,652","18,11,45,82,555.90","2,52,191","42,96,024","71.70"
"RELIANCE","EQ","05-Sep-2024","3,029.10","3,038.10","3,051.55","2,974.10","2,991.00","2,985.95","3,007.10","81,32,084","24,45,39,50,049.65","3,43,225","48,97,259","60.22"
"RELIANCE","EQ","06-Sep-2024","2,985.95","2,985.00","2,994.00","2,923.25","2,930.95","2,929.65","2,938.97","96,97,114","28,49,94,95,837.10","4,47,718","54,84,238","56.56"
"RELIANCE","EQ","09-Sep-2024","2,929.65","2,933.00","2,939.85","2,911.20","2,927.00","2,924.90","2,923.84","45,05,149","13,17,23,42,172.80","1,79,506","28,68,460","63.67"
"RELIANCE","EQ","10-Sep-2024","2,924.90","2,921.00","2,944.10","2,915.15","2,924.00","2,923.05","2,928.75","53,84,130","15,76,87,77,163.00","1,86,858","33,07,014","61.42"
"RELIANCE","EQ","11-Sep-2024","2,923.05","2,926.10","2,937.50","2,895.10","2,904.45","2,903.00","2,917.10","48,80,101","14,23,57,32,813.00","2,54,431","29,98,632","61.45"
"RELIANCE","EQ","12-Sep-2024","2,903.00","2,914.00","2,972.00","2,891.75","2,953.00","2,959.60","2,930.24","1,11,74,688","32,74,44,74,466.75","3,65,694","56,88,113","50.90"
"RELIANCE","EQ","13-Sep-2024","2,959.60","2,952.80","2,966.30","2,939.00","2,946.50","2,945.25","2,951.65","43,55,664","12,85,63,98,757.55","1,33,244","22,93,496","52.66"
"RELIANCE","EQ","16-Sep-2024","2,945.25","2,955.10","2,961.80","2,929.50","2,944.35","2,942.70","2,944.45","27,40,887","8,07,04,08,899.55","1,27,429","16,50,005","60.20"
"RELIANCE","EQ","17-Sep-2024","2,942.70","2,948.00","2,954.95","2,933.25","2,945.00","2,944.60","2,943.09","29,67,664","8,73,41,02,749.70","1,48,458","19,62,511","66.13"
"RELIANCE","EQ","18-Sep-2024","2,944.60","2,940.00","2,964.00","2,921.10","2,923.00","2,926.90","2,939.96","42,87,357","12,60,46,50,688.95","1,79,852","27,16,778","63.37"
"RELIANCE","EQ","19-Sep-2024","2,926.90","2,932.50","2,953.00","2,911.10","2,940.00","2,939.35","2,934.14","84,77,951","24,87,55,02,062.25","2,59,931","51,62,238","60.89"
"RELIANCE","EQ","20-Sep-2024","2,939.35","2,948.00","2,990.00","2,942.75","2,972.10","2,971.85","2,970.54","1,54,48,660","45,89,08,94,255.50","3,79,677","85,64,168","55.44"
"RELIANCE","EQ","23-Sep-2024","2,971.85","2,982.00","3,003.00","2,977.90","2,985.00","2,986.75","2,990.93","44,16,157","13,20,84,20,985.10","1,46,805","27,66,969","62.66"
"RELIANCE","EQ","24-Sep-2024","2,986.75","2,977.00","3,001.00","2,975.75","2,980.50","2,978.75","2,986.14","85,68,722","25,58,74,44,695.30","2,01,586","69,26,041","80.83"
"RELIANCE","EQ","25-Sep-2024","2,978.75","2,967.80","2,993.00","2,960.40","2,988.05","2,987.90","2,976.46","35,34,501","10,52,02,89,097.25","1,54,120","21,70,405","61.41"
"RELIANCE","EQ","26-Sep-2024","2,987.90","2,981.30","3,008.00","2,976.10","3,008.00","2,995.90","2,994.82","94,09,499","28,17,97,60,605.20","2,59,792","63,88,610","67.90"
"RELIANCE","EQ","27-Sep-2024","2,995.90","2,998.00","3,066.95","2,984.00","3,047.05","3,052.35","3,024.87","1,02,98,739","31,15,23,28,126.20","3,28,612","71,92,739","69.84"
"RELIANCE","EQ","30-Sep-2024","3,052.35","3,038.80","3,049.95","2,948.80","2,958.00","2,953.15","2,977.44","1,35,04,407","40,20,86,25,079.45","4,31,656","97,72,452","72.36"
"RELIANCE","EQ","01-Oct-2024","2,953.15","2,961.30","2,975.90","2,925.65","2,927.00","2,929.65","2,938.60","82,15,821","24,14,29,92,536.60","3,30,546","58,33,186","71.00"
"RELIANCE","EQ","03-Oct-2024","2,929.65","2,873.15","2,898.80","2,804.15","2,813.95","2,813.95","2,846.93","1,88,78,647","53,74,62,34,225.65","6,89,559","1,33,01,627","70.46"
"RELIANCE","EQ","04-Oct-2024","2,813.95","2,807.85","2,834.70","2,763.55","2,771.50","2,773.05","2,796.15","1,85,36,438","51,83,07,08,670.55","5,34,690","1,09,30,510","58.97"
"RELIANCE","EQ","07-Oct-2024","2,773.05","2,787.00","2,793.00","2,722.75","2,740.70","2,741.45","2,750.92","1,10,90,670","30,50,95,18,408.05","4,23,167","78,80,470","71.05"
"RELIANCE","EQ","08-Oct-2024","2,741.45","2,745.95","2,802.00","2,730.20","2,798.95","2,794.70","2,768.60","85,10,404","23,56,19,05,588.15","3,58,981","52,45,628","61.64"
"RELIANCE","EQ","09-Oct-2024","2,794.70","2,795.05","2,801.95","2,745.00","2,748.00","2,749.20","2,773.49","71,55,305","19,84,51,68,137.95","3,58,324","46,24,596","64.63"
"RELIANCE","EQ","10-Oct-2024","2,749.20","2,760.05","2,772.00","2,738.85","2,742.50","2,742.10","2,749.69","1,11,79,323","30,73,96,75,824.55","3,64,305","80,88,422","72.35"
"RELIANCE","EQ","11-Oct-2024","2,742.10","2,740.00","2,766.55","2,737.65","2,749.00","2,744.20","2,751.19","39,90,061","10,97,74,31,923.95","1,97,702","18,59,446","46.60"
